Codigo do IBGE,UF,Nome da cidade
4100459,PR,ALTAMIRA DO PARANA
2300606,CE,ALTANEIRA
3102001,MG,ALTEROSA
2600807,PE,ALTINHO
3501004,SP,ALTINOPOLIS
1400050,RR,ALTO ALEGRE
4300554,RS,ALTO ALEGRE
3501103,SP,ALTO ALEGRE
2100477,MA,ALTO ALEGRE DO PINDARE
1100379,RO,ALTO ALEGRE DOS PARECIS
5100300,MT,ALTO ARAGUAIA
4200754,SC,ALTO BELA VISTA
3102050,MG,ALTO CAPARAO
4300570,RS,ALTO FELIZ
5100409,MT,ALTO GARCAS
5200555,GO,ALTO HORIZONTE
3153509,MG,ALTO JEQUITIBA
2200301,PI,ALTO LONGA
5100508,MT,ALTO PARAGUAI
4128625,PR,ALTO PARAISO
1100403,RO,ALTO PARAISO
5200605,GO,ALTO PARAISO DE GOIAS
4100608,PR,ALTO PARANA
2100501,MA,ALTO PARNAIBA
3200359,ES,ALTO RIO NOVO
2300705,CE,ALTO SANTO
5100607,MT,ALTO TAQUARI
2200400,PI,ALTOS
3501152,SP,ALUMINIO
1300029,AM,ALVARAES
3102209,MG,ALVARENGA
3501202,SP,ALVARES FLORENCE
3501301,SP,ALVARES MACHADO
3501400,SP,ALVARO DE CARVALHO
3501509,SP,ALVINLANDIA
3102308,MG,ALVINOPOLIS
4300604,RS,ALVORADA
1700707,TO,ALVORADA
5200803,GO,ALVORADA DO NORTE
4100806,PR,ALVORADA DO SUL
1100346,RO,ALVORADA D'OESTE
1400027,RR,AMAJARI
5000609,MS,AMAMBAI
1600105,AP,AMAPA
2100550,MA,AMAPA DO MARANHAO
4100905,PR,AMAPORA
2600906,PE,AMARAJI
4300638,RS,AMARAL FERRADOR
5200829,GO,AMARALINA
2200509,PI,AMARANTE
2901007,BA,AMARGOSA
1300060,AM,AMATURA
2901155,BA,AMERICA DOURADA
3501608,SP,AMERICANA
5200852,GO,AMERICANO DO BRASIL
3501707,SP,AMERICO BRASILIENSE
3501806,SP,AMERICO DE CAMPOS
4300646,RS,AMETISTA DO SUL
2300754,CE,AMONTADA
5200902,GO,AMORINOPOLIS
2500734,PB,AMPARO
3501905,SP,AMPARO
3102506,MG,AMPARO DO SERRA
4101002,PR,AMPERE
2700201,AL,ANADIA
2901205,BA,ANAGE
4101051,PR,ANAHY
2100709,MA,ANAJATUBA
3502002,SP,ANALANDIA
1300086,AM,ANAMA
1701002,TO,ANANAS
1500800,PA,ANANINDEUA
5201108,GO,ANAPOLIS
1500859,PA,ANAPU
2100808,MA,ANAPURUS
5000708,MS,ANASTACIO
5000807,MS,ANAURILANDIA
3200409,ES,ANCHIETA
4200804,SC,ANCHIETA
2901353,BA,ANDORINHA
3102605,MG,ANDRADAS
3502101,SP,ANDRADINA
4300661,RS,ANDRE DA ROCHA
3102803,MG,ANDRELANDIA
3502200,SP,ANGATUBA
3102852,MG,ANGELANDIA
5000856,MS,ANGELICA
2601003,PE,ANGELIM
4200903,SC,ANGELINA
2901403,BA,ANGICAL
1701051,TO,ANGICO
3300100,RJ,ANGRA DOS REIS
2901502,BA,ANGUERA
4101150,PR,ANGULO
5201207,GO,ANHANGUERA
3502309,SP,ANHEMBI
3502408,SP,ANHUMAS
5201306,GO,ANICUNS
2200707,PI,ANISIO DE ABREU
4201000,SC,ANITA GARIBALDI
4201109,SC,ANITAPOLIS
1300102,AM,ANORI
4300703,RS,ANTA GORDA
2300804,CE,ANTONINA DO NORTE
2200806,PI,ANTONIO ALMEIDA
2901700,BA,ANTONIO CARDOSO
3102902,MG,ANTONIO CARLOS
4201208,SC,ANTONIO CARLOS
3103009,MG,ANTONIO DIAS
2901809,BA,ANTONIO GONCALVES
5000906,MS,ANTONIO JOAO
2400901,RN,ANTONIO MARTINS
4101309,PR,ANTONIO OLINTO
2500775,PB,APARECIDA
3502507,SP,APARECIDA
5201405,GO,APARECIDA DE GOIANIA
5201454,GO,APARECIDA DO RIO DOCE
1701101,TO,APARECIDA DO RIO NEGRO
5001003,MS,APARECIDA DO TABOADO
3502606,SP,APARECIDA D'OESTE
3300159,RJ,APERIBE
3200508,ES,APIACA
5100805,MT,APIACAS
3502705,SP,APIAI
2100832,MA,APICUM-ACU
4201257,SC,APIUNA
2401008,RN,APODI
2901908,BA,APORA
2901957,BA,APUAREMA
4101408,PR,APUCARANA
1300144,AM,APUI
2800209,SE,AQUIDABA
5001102,MS,AQUIDAUANA
2301000,CE,AQUIRAZ
4201273,SC,ARABUTA
2500809,PB,ARACAGI
3103207,MG,ARACAI
2800308,SE,ARACAJU
3502754,SP,ARACARIGUAMA
2902005,BA,ARACATU
3502804,SP,ARACATUBA
2902104,BA,ARACI
3103306,MG,ARACITABA
2601052,PE,ARACOIABA
3502903,SP,ARACOIABA DA SERRA
3200607,ES,ARACRUZ
5201603,GO,ARACU
3103405,MG,ARACUAI
5201702,GO,ARAGARCAS
5201801,GO,ARAGOIANIA
1701903,TO,ARAGUACEMA
1702000,TO,ARAGUACU
5101001,MT,ARAGUAIANA
1702109,TO,ARAGUAINA
5101209,MT,ARAGUAINHA
1702158,TO,ARAGUANA
5202155,GO,ARAGUAPAZ
3103504,MG,ARAGUARI
1702208,TO,ARAGUATINS
2100907,MA,ARAIOSES
5001243,MS,ARAL MOREIRA
4300851,RS,ARAMBARE
2100956,MA,ARAME
3503109,SP,ARANDU
3103603,MG,ARANTINA
3503158,SP,ARAPEI
2700300,AL,ARAPIRACA
1702307,TO,ARAPOEMA
3103702,MG,ARAPONGA
4101507,PR,ARAPONGAS
3103751,MG,ARAPORA
4101606,PR,ARAPOTI
5101258,MT,ARAPUTANGA
4201307,SC,ARAQUARI
2500908,PB,ARARA
4201406,SC,ARARANGUA
3503208,SP,ARARAQUARA
3503307,SP,ARARAS
2301257,CE,ARARENDA
2101004,MA,ARARI
4300877,RS,ARARICA
2301307,CE,ARARIPE
2601102,PE,ARARIPINA
2501005,PB,ARARUNA
2902252,BA,ARATACA
4300901,RS,ARATIBA
2301406,CE,ARATUBA
2902302,BA,ARATUIPE
2800407,SE,ARAUA
4101804,PR,ARAUCARIA
3103900,MG,ARAUJOS
3104007,MG,ARAXA
3104106,MG,ARCEBURGO
3503356,SP,ARCO-IRIS
2601201,PE,ARCOVERDE
3104304,MG,AREADO
3503406,SP,AREALVA
2501104,PB,AREIA
2401107,RN,AREIA BRANCA
2800506,SE,AREIA BRANCA
2501153,PB,AREIA DE BARAUNAS
2501203,PB,AREIAL
3503505,SP,AREIAS
3503604,SP,AREIOPOLIS
5101308,MT,ARENAPOLIS
2401206,RN,ARES
3104403,MG,ARGIRITA
3104452,MG,ARICANDUVA
5101407,MT,ARIPUANA
1100023,RO,ARIQUEMES
3503703,SP,ARIRANHA
4101853,PR,ARIRANHA DO IVAI
3300233,RJ,ARMACAO DOS BUZIOS
4201505,SC,ARMAZEM
2301505,CE,ARNEIROZ
2200905,PI,AROAZES
2200954,PI,AROEIRAS DO ITAIM
2201002,PI,ARRAIAL
1702406,TO,ARRAIAS
4301008,RS,ARROIO DO MEIO
4301073,RS,ARROIO DO PADRE
4301057,RS,ARROIO DO SAL
4301206,RS,ARROIO DO TIGRE
4301107,RS,ARROIO DOS RATOS
4301305,RS,ARROIO GRANDE
3503802,SP,ARTUR NOGUEIRA
5202502,GO,ARUANA
3503901,SP,ARUJA
4201653,SC,ARVOREDO
4301404,RS,ARVOREZINHA
4201703,SC,ASCURRA
3503950,SP,ASPASIA
4101903,PR,ASSAI
2301604,CE,ASSARE
1200054,AC,ASSIS BRASIL
4102000,PR,ASSIS CHATEAUBRIAND
2501351,PB,ASSUNCAO
2201051,PI,ASSUNCAO DO PIAUI
4102109,PR,ASTORGA
2700409,AL,ATALAIA
4102208,PR,ATALAIA
1300201,AM,ATALAIA DO NORTE
4201802,SC,ATALANTA
3104700,MG,ATALEIA
3504107,SP,ATIBAIA
1702554,TO,AUGUSTINOPOLIS
1500909,PA,AUGUSTO CORREA
3104809,MG,AUGUSTO DE LIMA
4301503,RS,AUGUSTO PESTANA
2401305,RN,AUGUSTO SEVERO
4301552,RS,AUREA
3504206,SP,AURIFLAMA
5202601,GO,AURILANDIA
2301703,CE,AURORA
4201901,SC,AURORA
1500958,PA,AURORA DO PARA
1702703,TO,AURORA DO TOCANTINS
1300300,AM,AUTAZES
3504305,SP,AVAI
3504404,SP,AVANHANDAVA
1501006,PA,AVEIRO
2201101,PI,AVELINO LOPES
5202809,GO,AVELINOPOLIS
2101103,MA,AXIXA
1703008,TO,BABACULANDIA
2101202,MA,BACABAL
2101251,MA,BACABEIRA
3504602,SP,BADY BASSITT
3104908,MG,BAEPENDI
4301602,RS,BAGE
1501105,PA,BAGRE
2401404,RN,BAIA FORMOSA
2902500,BA,BAIANOPOLIS
1501204,PA,BAIAO
2902609,BA,BAIXA GRANDE
2301802,CE,BAIXIO
3200805,ES,BAIXO GUANDU
3504701,SP,BALBINOS
3105004,MG,BALDIM
5203104,GO,BALIZA
4201950,SC,BALNEARIO ARROIO DO SILVA
4202057,SC,BALNEARIO BARRA DO SUL
4202008,SC,BALNEARIO CAMBORIU
4202073,SC,BALNEARIO GAIVOTA
4301636,RS,BALNEARIO PINHAL
4102307,PR,BALSA NOVA
3504800,SP,BALSAMO
2101400,MA,BALSAS
3105103,MG,BAMBUI
2301851,CE,BANABUIU
3504909,SP,BANANAL
2501500,PB,BANANEIRAS
3105202,MG,BANDEIRA
4202081,SC,BANDEIRANTE
5001508,MS,BANDEIRANTES
4102406,PR,BANDEIRANTES
1501253,PA,BANNACH
2902658,BA,BANZAE
4301651,RS,BARAO
3505005,SP,BARAO DE ANTONINA
3105400,MG,BARAO DE COCAIS
4301701,RS,BARAO DE COTEGIPE
5101605,MT,BARAO DE MELGACO
4301750,RS,BARAO DO TRIUNFO
2501534,PB,BARAUNA
2401453,RN,BARAUNA
2301901,CE,BARBALHA
3505104,SP,BARBOSA
4102505,PR,BARBOSA FERRAZ
1501303,PA,BARCARENA
2401503,RN,BARCELONA
1300409,AM,BARCELOS
3505203,SP,BARIRI
2902708,BA,BARRA
4202099,SC,BARRA BONITA
3505302,SP,BARRA BONITA
2601300,PE,BARRA DE GUABIRABA
2501609,PB,BARRA DE SANTA ROSA
2501575,PB,BARRA DE SANTANA
2700508,AL,BARRA DE SANTO ANTONIO
3200904,ES,BARRA DE SAO FRANCISCO
2700607,AL,BARRA DE SAO MIGUEL
2501708,PB,BARRA DE SAO MIGUEL
5101704,MT,BARRA DO BUGRES
3505351,SP,BARRA DO CHAPEU
2902906,BA,BARRA DO CHOCA
2101608,MA,BARRA DO CORDA
5101803,MT,BARRA DO GARCAS
4301859,RS,BARRA DO GUARITA
2903003,BA,BARRA DO MENDES
3300308,RJ,BARRA DO PIRAI
4301875,RS,BARRA DO QUARAI
4301909,RS,BARRA DO RIBEIRO
4301925,RS,BARRA DO RIO AZUL
2903102,BA,BARRA DO ROCHA
3505401,SP,BARRA DO TURVO
2800605,SE,BARRA DOS COQUEIROS
4301958,RS,BARRA FUNDA
3105707,MG,BARRA LONGA
3300407,RJ,BARRA MANSA
4202107,SC,BARRA VELHA
4102604,PR,BARRACAO
4301800,RS,BARRACAO
2201200,PI,BARRAS
2903201,BA,BARREIRAS
1300508,AM,BARREIRINHA
2101707,MA,BARREIRINHAS
2601409,PE,BARREIROS
3505500,SP,BARRETOS
3505609,SP,BARRINHA
2302008,CE,BARRO
2903235,BA,BARRO ALTO
5203203,GO,BARRO ALTO
2201408,PI,BARRO DURO
2903300,BA,BARRO PRETO
1703107,TO,BARROLANDIA
2302057,CE,BARROQUINHA
4302006,RS,BARROS CASSAL
3105905,MG,BARROSO
3505708,SP,BARUERI
5001904,MS,BATAGUASSU
2700706,AL,BATALHA
2201507,PI,BATALHA
3505906,SP,BATATAIS
5002001,MS,BATAYPORA
2302107,CE,BATURITE
2501807,PB,BAYEUX
3506102,SP,BEBEDOURO
2302206,CE,BEBERIBE
2302305,CE,BELA CRUZ
5002100,MS,BELA VISTA
5203302,GO,BELA VISTA DE GOIAS
3106002,MG,BELA VISTA DE MINAS
4102802,PR,BELA VISTA DO PARAISO
2201556,PI,BELA VISTA DO PIAUI
4202131,SC,BELA VISTA DO TOLDO
2101731,MA,BELAGUA
2700805,AL,BELEM
1501402,PA,BELEM
2501906,PB,BELEM
2601508,PE,BELEM DE MARIA
2601607,PE,BELEM DE SAO FRANCISCO
2201572,PI,BELEM DO PIAUI
3300456,RJ,BELFORD ROXO
3106101,MG,BELMIRO BRAGA
2903409,BA,BELMONTE
4202156,SC,BELMONTE
2903508,BA,BELO CAMPO
2601706,PE,BELO JARDIM
2700904,AL,BELO MONTE
3106309,MG,BELO ORIENTE
3106408,MG,BELO VALE
2201606,PI,BENEDITINOS
2101806,MA,BENEDITO LEITE
4202206,SC,BENEDITO NOVO
1501501,PA,BENEVIDES
1300607,AM,BENJAMIN CONSTANT
3506201,SP,BENTO DE ABREU
2401602,RN,BENTO FERNANDES
4302105,RS,BENTO GONCALVES
2101905,MA,BEQUIMAO
3106507,MG,BERILO
2502052,PB,BERNARDINO BATISTA
3506300,SP,BERNARDINO DE CAMPOS
2101939,MA,BERNARDO DO MEARIM
1703206,TO,BERNARDO SAYAO
3506359,SP,BERTIOGA
2201705,PI,BERTOLINIA
3106606,MG,BERTOPOLIS
1300631,AM,BERURI
2601805,PE,BETANIA
2201739,PI,BETANIA DO PIAUI
3106705,MG,BETIM
2601904,PE,BEZERROS
4202305,SC,BIGUACU
3506409,SP,BILAC
3107000,MG,BIQUINHAS
3506508,SP,BIRIGUI
3506607,SP,BIRITIBA-MIRIM
2903607,BA,BIRITINGA
4102901,PR,BITURUNA
4202404,SC,BLUMENAU
3201001,ES,BOA ESPERANCA
4103008,PR,BOA ESPERANCA
3506706,SP,BOA ESPERANCA DO SUL
2201770,PI,BOA HORA
2903706,BA,BOA NOVA
2502102,PB,BOA VENTURA
4103040,PR,BOA VENTURA DE SAO ROQUE
2302404,CE,BOA VIAGEM
2502151,PB,BOA VISTA
1400100,RR,BOA VISTA
4103057,PR,BOA VISTA DA APARECIDA
4302154,RS,BOA VISTA DAS MISSOES
4302204,RS,BOA VISTA DO BURICA
4302220,RS,BOA VISTA DO CADEADO
4302238,RS,BOA VISTA DO INCRA
2903805,BA,BOA VISTA DO TUPIM
2701001,AL,BOCA DA MATA
1300706,AM,BOCA DO ACRE
2201804,PI,BOCAINA
3506805,SP,BOCAINA
3107208,MG,BOCAINA DE MINAS
4202438,SC,BOCAINA DO SUL
3107307,MG,BOCAIUVA
4103107,PR,BOCAIUVA DO SUL
2401651,RN,BODO
2602001,PE,BODOCO
5002159,MS,BODOQUENA
3506904,SP,BOFETE
2602100,PE,BOM CONSELHO
3107406,MG,BOM DESPACHO
2102002,MA,BOM JARDIM
3300506,RJ,BOM JARDIM
4202503,SC,BOM JARDIM DA SERRA
5203401,GO,BOM JARDIM DE GOIAS
3107505,MG,BOM JARDIM DE MINAS
2502201,PB,BOM JESUS
2201903,PI,BOM JESUS
2401701,RN,BOM JESUS
4302303,RS,BOM JESUS
2903904,BA,BOM JESUS DA LAPA
3107604,MG,BOM JESUS DA PENHA
2102036,MA,BOM JESUS DAS SELVAS
5203500,GO,BOM JESUS DE GOIAS
3107703,MG,BOM JESUS DO AMPARO
5101852,MT,BOM JESUS DO ARAGUAIA
3107802,MG,BOM JESUS DO GALHO
3201100,ES,BOM JESUS DO NORTE
4202578,SC,BOM JESUS DO OESTE
4103156,PR,BOM JESUS DO SUL
1501576,PA,BOM JESUS DO TOCANTINS
1703305,TO,BOM JESUS DO TOCANTINS
3507100,SP,BOM JESUS DOS PERDOES
2102077,MA,BOM LUGAR
4302352,RS,BOM PRINCIPIO
4302378,RS,BOM PROGRESSO
3107901,MG,BOM REPOUSO
4202602,SC,BOM RETIRO
4302402,RS,BOM RETIRO DO SUL
3108008,MG,BOM SUCESSO
2502300,PB,BOM SUCESSO
4103206,PR,BOM SUCESSO
4103222,PR,BOM SUCESSO DO SUL
4202453,SC,BOMBINHAS
3108107,MG,BONFIM
1400159,RR,BONFIM
2201929,PI,BONFIM DO PIAUI
5203559,GO,BONFINOPOLIS
3108206,MG,BONFINOPOLIS DE MINAS
2904001,BA,BONINAL
2904050,BA,BONITO
5002209,MS,BONITO
1501600,PA,BONITO
2602308,PE,BONITO
2502409,PB,BONITO DE SANTA FE
5203575,GO,BONOPOLIS
2502508,PB,BOQUEIRAO
4302451,RS,BOQUEIRAO DO LEAO
2201945,PI,BOQUEIRAO DO PIAUI
2800670,SE,BOQUIM
2904100,BA,BOQUIRA
3507209,SP,BORA
1300805,AM,BORBA
2502706,PB,BORBOREMA
3507407,SP,BORBOREMA
3108305,MG,BORDA DA MATA
3507456,SP,BOREBI
4103305,PR,BORRAZOPOLIS
3108404,MG,BOTELHOS
3507506,SP,BOTUCATU
3108503,MG,BOTUMIRIM
2904209,BA,BOTUPORA
4302584,RS,BOZANO
4202800,SC,BRACO DO NORTE
4202859,SC,BRACO DO TROMBUDO
1501709,PA,BRAGANCA
4103354,PR,BRAGANEY
2701100,AL,BRANQUINHA
3108701,MG,BRAS PIRES
1501725,PA,BRASIL NOVO
3108552,MG,BRASILANDIA DE MINAS
4103370,PR,BRASILANDIA DO SUL
1703602,TO,BRASILANDIA DO TOCANTINS
1200104,AC,BRASILEIA
2201960,PI,BRASILEIRA
3108602,MG,BRASILIA DE MINAS
5101902,MT,BRASNORTE
3108909,MG,BRASOPOLIS
3507704,SP,BRAUNA
3108800,MG,BRAUNAS
5203609,GO,BRAZABRANTES
3201159,ES,BREJETUBA
2401800,RN,BREJINHO
1703701,TO,BREJINHO DE NAZARE
2102101,MA,BREJO
3507753,SP,BREJO ALEGRE
2602605,PE,BREJO DA MADRE DE DEUS
2102150,MA,BREJO DE AREIA
2502805,PB,BREJO DO CRUZ
2201988,PI,BREJO DO PIAUI
2800704,SE,BREJO GRANDE
2302503,CE,BREJO SANTO
2904308,BA,BREJOES
2904407,BA,BREJOLANDIA
1501782,PA,BREU BRANCO
1501808,PA,BREVES
5203807,GO,BRITANIA
4302659,RS,BROCHIER
3507803,SP,BRODOWSKI
3507902,SP,BROTAS
2904506,BA,BROTAS DE MACAUBAS
3109006,MG,BRUMADINHO
2904605,BA,BRUMADO
4202875,SC,BRUNOPOLIS
4202909,SC,BRUSQUE
3109204,MG,BUENOPOLIS
2602704,PE,BUENOS AIRES
2904704,BA,BUERAREMA
3109253,MG,BUGRE
2602803,PE,BUIQUE
1501907,PA,BUJARU
3508009,SP,BURI
3508108,SP,BURITAMA
2102200,MA,BURITI
5203906,GO,BURITI ALEGRE
2102309,MA,BURITI BRAVO
1703800,TO,BURITI DO TOCANTINS
2202000,PI,BURITI DOS LOPES
2202026,PI,BURITI DOS MONTES
2102325,MA,BURITICUPU
2904753,BA,BURITIRAMA
2102358,MA,BURITIRANA
1100452,RO,BURITIS
3508207,SP,BURITIZAL
3109402,MG,BURITIZEIRO
4302709,RS,BUTIA
1300839,AM,CAAPIRANGA
2503001,PB,CAAPORA
5002407,MS,CAARAPO
2904852,BA,CABACEIRAS DO PARAGUACU
3109451,MG,CABECEIRA GRANDE
5204003,GO,CABECEIRAS
2202059,PI,CABECEIRAS DO PIAUI
2503209,PB,CABEDELO
1100031,RO,CABIXI
2602902,PE,CABO DE SANTO AGOSTINHO
3300704,RJ,CABO FRIO
3109501,MG,CABO VERDE
3508306,SP,CABRALIA PAULISTA
3508405,SP,CABREUVA
2603009,PE,CABROBO
3508504,SP,CACAPAVA
1100601,RO,CACAULANDIA
4302907,RS,CACEQUI
5102504,MT,CACERES
2904902,BA,CACHOEIRA
5204102,GO,CACHOEIRA ALTA
3109600,MG,CACHOEIRA DA PRATA
5204201,GO,CACHOEIRA DE GOIAS
3109709,MG,CACHOEIRA DE MINAS
1502004,PA,CACHOEIRA DO ARARI
1501956,PA,CACHOEIRA DO PIRIA
4303004,RS,CACHOEIRA DO SUL
2503308,PB,CACHOEIRA DOS INDIOS
3109808,MG,CACHOEIRA DOURADA
2102374,MA,CACHOEIRA GRANDE
3508603,SP,CACHOEIRA PAULISTA
3300803,RJ,CACHOEIRAS DE MACACU
2603108,PE,CACHOEIRINHA
4303103,RS,CACHOEIRINHA
1703826,TO,CACHOEIRINHA
2503407,PB,CACIMBA DE AREIA
2503506,PB,CACIMBA DE DENTRO
2503555,PB,CACIMBAS
2701209,AL,CACIMBINHAS
4303202,RS,CACIQUE DOBLE
1100049,RO,CACOAL
3508702,SP,CACONDE
5204300,GO,CACU
2905008,BA,CACULE
2905107,BA,CAEM
2905156,BA,CAETANOS
3110004,MG,CAETE
2603207,PE,CAETES
2905206,BA,CAETITE
2905305,BA,CAFARNAUM
4103404,PR,CAFEARA
4103453,PR,CAFELANDIA
3508801,SP,CAFELANDIA
3508900,SP,CAIABU
3110103,MG,CAIANA
5204409,GO,CAIAPONIA
4203105,SC,CAIBI
2503605,PB,CAICARA
4303400,RS,CAICARA
2401859,RN,CAICARA DO NORTE
2401909,RN,CAICARA DO RIO DO VENTO
2402006,RN,CAICO
3509007,SP,CAIEIRAS
2905404,BA,CAIRU
3509106,SP,CAIUA
2102408,MA,CAJAPIO
2102507,MA,CAJARI
3509254,SP,CAJATI
2202075,PI,CAJAZEIRAS DO PIAUI
2503753,PB,CAJAZEIRINHAS
3509304,SP,CAJOBI
2701308,AL,CAJUEIRO
3110202,MG,CAJURI
3509403,SP,CAJURU
2603306,PE,CALCADO
1600204,AP,CALCOENE
3110301,MG,CALDAS
2503803,PB,CALDAS BRANDAO
5204508,GO,CALDAS NOVAS
5204557,GO,CALDAZINHA
2202091,PI,CALDEIRAO GRANDE DO PIAUI
4103503,PR,CALIFORNIA
4203154,SC,CALMON
2603405,PE,CALUMBI
2905602,BA,CAMACAN
2905701,BA,CAMACARI
3110400,MG,CAMACHO
2905800,BA,CAMAMU
3110509,MG,CAMANDUCAIA
5002605,MS,CAMAPUA
4303509,RS,CAMAQUA
2603454,PE,CAMARAGIBE
4303558,RS,CAMARGO
4103602,PR,CAMBARA
4103701,PR,CAMBE
4103800,PR,CAMBIRA
4203204,SC,CAMBORIU
3300902,RJ,CAMBUCI
3110707,MG,CAMBUQUIRA
1502103,PA,CAMETA
2302602,CE,CAMOCIM
2603504,PE,CAMOCIM DE SAO FELIX
3110806,MG,CAMPANARIO
3110905,MG,CAMPANHA
2701357,AL,CAMPESTRE
3111002,MG,CAMPESTRE
5204607,GO,CAMPESTRE DE GOIAS
4103909,PR,CAMPINA DA LAGOA
4303707,RS,CAMPINA DAS MISSOES
3509452,SP,CAMPINA DO MONTE ALEGRE
4103958,PR,CAMPINA DO SIMAO
2504009,PB,CAMPINA GRANDE
4104006,PR,CAMPINA GRANDE DO SUL
3111101,MG,CAMPINA VERDE
5204656,GO,CAMPINACU
5102603,MT,CAMPINAPOLIS
3509502,SP,CAMPINAS
2202109,PI,CAMPINAS DO PIAUI
4303806,RS,CAMPINAS DO SUL
5204706,GO,CAMPINORTE
2701407,AL,CAMPO ALEGRE
4203303,SC,CAMPO ALEGRE
2202117,PI,CAMPO ALEGRE DO FIDALGO
3111150,MG,CAMPO AZUL
3111200,MG,CAMPO BELO
4203402,SC,CAMPO BELO DO SUL
4303905,RS,CAMPO BOM
4104055,PR,CAMPO BONITO
2516409,PB,CAMPO DE SANTANA
2801009,SE,CAMPO DO BRITO
3111309,MG,CAMPO DO MEIO
4104105,PR,CAMPO DO TENENTE
5300108,DF,BRASILIA
2906006,BA,CAMPO FORMOSO
2701506,AL,CAMPO GRANDE
5002704,MS,CAMPO GRANDE
4104204,PR,CAMPO LARGO
2202174,PI,CAMPO LARGO DO PIAUI
5204854,GO,CAMPO LIMPO DE GOIAS
3509601,SP,CAMPO LIMPO PAULISTA
4104253,PR,CAMPO MAGRO
2202208,PI,CAMPO MAIOR
4104303,PR,CAMPO MOURAO
4304002,RS,CAMPO NOVO
5102637,MT,CAMPO NOVO DO PARECIS
2402105,RN,CAMPO REDONDO
5102678,MT,CAMPO VERDE
3111507,MG,CAMPOS ALTOS
5204904,GO,CAMPOS BELOS
4304101,RS,CAMPOS BORGES
5102686,MT,CAMPOS DE JULIO
